FIPS,STATE_NAME,COUNTY,STATE_ABBR,ACCESS2_AdjPrev,ARTHRITIS_AdjPrev,BINGE_AdjPrev,BPHIGH_AdjPrev,BPMED_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CERVICAL_AdjPrev,CHD_AdjPrev,CHECKUP_AdjPrev,CHOLSCREEN_AdjPrev,COLON_SCREEN_AdjPrev,COPD_AdjPrev,COREM_AdjPrev,COREW_AdjPrev,CSMOKING_AdjPrev,DENTAL_AdjPrev,DEPRESSION_AdjPrev,DIABETES_AdjPrev,GHLTH_AdjPrev,HIGHCHOL_AdjPrev,KIDNEY_AdjPrev,LPA_AdjPrev,MAMMOUSE_AdjPrev,MHLTH_AdjPrev,OBESITY_AdjPrev,PHLTH_AdjPrev,SLEEP_AdjPrev,STROKE_AdjPrev,TEETHLOST_AdjPrev,HEARING_AdjPrev,VISION_AdjPrev,COGNITION_AdjPrev,MOBILITY_AdjPrev,SELFCARE_AdjPrev,INDEPLIVE_AdjPrev,DISABILITY_AdjPrev
01001,Alabama,Autauga,AL,10.4,28.2,15.5,37.2,65.3,6.3,10.2,84.3,5.7,76,85.1,71.5,6.8,44,41.3,16.9,62.9,22.7,10.7,17.3,32.1,2.9,29.1,74.8,18,38.9,11.7,37.5,3,12.7,6,4.7,14.3,14.7,3.7,8.2,30.2
01003,Alabama,Baldwin,AL,9.5,26.4,17.8,32.7,62.8,6.3,9.9,85.3,5.5,72.6,85.2,71.5,6.5,55.8,40.8,15,65.5,23.2,9.8,15.2,31.9,2.7,27.6,75.4,17.3,37.2,11,35.1,2.7,9.9,6,4,13.3,13.2,3.1,7.2,29.1
01005,Alabama,Barbour,AL,17.2,30.6,13.4,44.3,68.4,5.9,11.4,81.8,7.5,76.6,82.2,69,9.7,36.9,33.2,25,47.6,22.6,15.6,27.3,33.5,3.7,40.2,72.5,20.5,43.4,15.8,43.9,4.4,22.3,7.2,8.6,19.9,21.8,6.7,12.9,40.7
01007,Alabama,Bibb,AL,14.3,29.5,15.4,39.6,65.8,6.2,10.4,82.3,6.7,72.7,82.8,70.3,8.6,40.7,36.1,22,53.5,23.3,12.4,22,34,3.1,36,71.1,19.4,39.6,14,40,3.6,17,7,6.2,17.3,17.7,4.8,10.2,35.6
01009,Alabama,Blount,AL,13.1,28.4,16,35.2,62.4,6.4,10.1,82.9,6.2,72.7,83.4,70.1,7.8,40.8,37.4,19.6,58.4,24.2,10.5,18.6,34.1,2.9,30.4,69.6,18.8,37.7,12.8,37.3,3,14.6,6.8,4.9,15.9,15.6,3.9,8.8,32.4
01011,Alabama,Bullock,AL,19.2,30,12.4,48.9,70.3,5.5,11.6,82.9,7.9,78.2,82.1,69.7,9.8,32.8,31.8,25.7,45,20.2,18.7,30.7,33.4,4.1,43.6,75.1,20.5,48.9,16.6,46,5.1,24.3,6.9,10.4,20.6,23.9,8,14.1,41.9
01013,Alabama,Butler,AL,13.3,29.2,14,42,68,6,11.3,83.8,6.4,77.3,84.1,70.4,8.2,42.9,36.9,21.1,54.3,21.4,14,23.4,33.5,3.4,36.5,74.9,19.9,42,14.1,40.9,3.8,17.2,6.2,6.8,17.5,19.1,5.2,11.1,36.6
01015,Alabama,Calhoun,AL,12.2,29.8,14.3,38.4,65.4,6.3,10.7,82.5,6.4,75.3,83.7,69.5,8.2,40.8,38.3,20.8,55,23.3,12,20.8,33.2,3.1,34.1,72.4,19.1,38.9,13.5,38.1,3.3,14.8,6.6,5.7,16.5,17.2,4.5,9.8,34.7
01017,Alabama,Chambers,AL,13.1,28.9,14,40.6,67.3,6,11.1,83.6,6.3,77.4,84.2,71.8,7.9,38.8,36.2,20.3,56.6,22.8,13.4,22,32.7,3.3,35,73,19.5,43.9,13.7,43.4,3.7,16.5,6.3,6.3,16.9,18.1,4.9,10.4,35.6
01019,Alabama,Cherokee,AL,13,28.3,16.2,36.6,64,6.4,10.6,82.6,6.7,72.7,82.4,70.4,8.8,41.6,37.1,22.2,55.5,26.5,11.1,20.6,33.4,3,32.8,71.4,20.1,37.8,13.8,38.2,3.3,15.4,7.3,5.5,17.5,16.9,4.4,9.9,34.6
