FIPS,COUNTY_NAME,STATE_NAME,STATE_ABBR,AIRQUALTY_MEAN
06105,"Trinity County",California,CA,17.7568407444
06063,"Plumas County",California,CA,17.029498468
41035,"Klamath County",Oregon,OR,15.5650628901
06035,"Lassen County",California,CA,15.2332136596
06089,"Shasta County",California,CA,14.4512267643
06107,"Tulare County",California,CA,14.0991865499
06031,"Kings County",California,CA,13.8326266188
06091,"Sierra County",California,CA,13.5133047402
41029,"Jackson County",Oregon,OR,13.1531621647
06103,"Tehama County",California,CA,13.0209671259
06049,"Modoc County",California,CA,12.7633364044
32031,"Washoe County",Nevada,NV,12.6982826158
06093,"Siskiyou County",California,CA,12.5993517747
20021,"Cherokee County",Kansas,KS,12.2231915792
32029,"Storey County",Nevada,NV,11.6317423582
06099,"Stanislaus County",California,CA,11.6307863605
06029,"Kern County",California,CA,11.6152001196
32027,"Pershing County",Nevada,NV,11.493480864
41037,"Lake County",Oregon,OR,11.4831458619
32510,"Carson City",Nevada,NV,11.4082895915
06019,"Fresno County",California,CA,11.4049358341
27005,"Becker County",Minnesota,MN,11.3510652889
06039,"Madera County",California,CA,11.3299705444
06077,"San Joaquin County",California,CA,11.3100446029
32005,"Douglas County",Nevada,NV,11.1925414562
06101,"Sutter County",California,CA,11.1832015514
40115,"Ottawa County",Oklahoma,OK,11.1663205624
06007,"Butte County",California,CA,11.1514164547
32013,"Humboldt County",Nevada,NV,11.1350490744
06059,"Orange County",California,CA,11.1331367907
27057,"Hubbard County",Minnesota,MN,11.1179600377
06037,"Los Angeles County",California,CA,11.0145751746
06115,"Yuba County",California,CA,10.9926487418
27087,"Mahnomen County",Minnesota,MN,10.889079321
18097,"Marion County",Indiana,IN,10.8620880445
30053,"Lincoln County",Montana,MT,10.8575551755
06057,"Nevada County",California,CA,10.8224007818
32001,"Churchill County",Nevada,NV,10.7801034878
13245,"Richmond County",Georgia,GA,10.707903756
27027,"Clay County",Minnesota,MN,10.6514928201
27111,"Otter Tail County",Minnesota,MN,10.6149395977
20173,"Sedgwick County",Kansas,KS,10.5479896069
06047,"Merced County",California,CA,10.523113828
27107,"Norman County",Minnesota,MN,10.5220715702
32019,"Lyon County",Nevada,NV,10.5191600002
40035,"Craig County",Oklahoma,OK,10.5141533852
20099,"Labette County",Kansas,KS,10.5078002453
18063,"Hendricks County",Indiana,IN,10.4333862464
20037,"Crawford County",Kansas,KS,10.4086281776
06061,"Placer County",California,CA,10.3813257651
06011,"Colusa County",California,CA,10.3789040334
48215,"Hidalgo County",Texas,TX,10.3276987741
06021,"Glenn County",California,CA,10.243289989
32009,"Esmeralda County",Nevada,NV,10.2362772043
18081,"Johnson County",Indiana,IN,10.1944462458
20079,"Harvey County",Kansas,KS,10.1772590001
48427,"Starr County",Texas,TX,10.1690756699
53047,"Okanogan County",Washington,WA,10.1687507333
